state,p_decisive_vote
PA,1.033987389355145e-7
WI,8.993325308852244e-8
NH,7.712840413389497e-8
NV,7.437234326466914e-8
MI,6.005960345172791e-8
MN,4.5918309736342586e-8
AZ,4.003736216487836e-8
FL,3.259906161246238e-8
NC,3.0089490168897036e-8
NM,2.6882512149087695e-8
GA,2.061273418239148e-8
VA,1.502466371374374e-8
ME,1.3203360036889428e-8
TX,9.980844668398574e-9
IA,9.486828408158265e-9
AK,8.458439148858332e-9
CO,7.391422256352805e-9
OH,4.502463588149599e-9
IL,2.7300210925611106e-9
RI,1.8751898935427796e-9
NJ,1.7422532804114911e-9
MS,1.431150814497959e-9
OR,1.324738366313733e-9
CT,1.2030405463526658e-9
DE,8.995461856614553e-10
MT,8.491132383366601e-10
SC,6.724662304095573e-10
LA,5.993637001832191e-10
KS,3.492048610134543e-10
MO,3.413090409533226e-10
WA,3.334831901973012e-10
NY,2.881222805460245e-10
HI,2.459067673293683e-10
SD,2.197347989530539e-10
NE,1.9110446211799147e-10
AR,1.6483076126865025e-10
MD,1.6344497793708606e-10
UT,1.455809968605952e-10
TN,1.2491758633769952e-10
IN,1.2360848186030932e-10
CA,9.959252032606367e-11
AL,8.994460655512403e-11
MA,8.929116424094858e-11
ND,6.285574513988874e-11
VT,6.117033593212791e-11
KY,3.291560973303614e-11
ID,3.022666083602822e-11
OK,2.8662375743448743e-11
WV,1.376694240990267e-11
WY,1.2315760329428441e-11
DC,6.172562301712046e-15
