state,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,1,0.431,0.5428,0.5431,0.2442,0.5462,0.218,0.1665,0.2213,0.3105,0.2419,0.2203,0.6454,0.6547,0.2273,0.6152,0.6861,0.6281,0.2902,0.2198,0.2056,0.494,0.4978,0.5872,0.585,0.3046,0.6417,0.4606,0.6648,0.5838,0.4717,0.1927,0.37,0.3697,0.1944,0.5311,0.6532,0.5841,0.4819,0.3366,0.3799,0.6674,0.5273,0.413,0.5729,0.285,0.4024,0.5341,0.5784,0.5907,0.6392
AL,0.431,1,0.7001,0.2345,0.233,0.2788,0.1834,0.1511,0.4349,0.4082,0.6782,0.215,0.5955,0.5231,0.1635,0.6566,0.6288,0.7022,0.7056,0.1794,0.2076,0.4862,0.6079,0.5158,0.6788,0.7017,0.5898,0.786,0.5671,0.4866,0.4255,0.1954,0.2163,0.2163,0.184,0.6225,0.6574,0.4308,0.5382,0.192,0.794,0.5885,0.7227,0.2444,0.2712,0.5023,0.3349,0.2696,0.5494,0.6636,0.583
AR,0.5428,0.7001,1,0.2865,0.2184,0.3688,0.1515,0.1395,0.3714,0.3771,0.5467,0.2054,0.6324,0.575,0.1772,0.6792,0.6823,0.7225,0.5905,0.1567,0.1876,0.4877,0.5967,0.5575,0.682,0.581,0.6215,0.7234,0.6204,0.517,0.4363,0.1868,0.2077,0.2157,0.1791,0.618,0.691,0.4962,0.54,0.2106,0.693,0.6446,0.7218,0.2277,0.3421,0.4528,0.349,0.3476,0.5752,0.6807,0.6272
AZ,0.5431,0.2345,0.2865,1,0.5757,0.5927,0.4733,0.1575,0.3385,0.6082,0.2296,0.4482,0.4761,0.485,0.5126,0.4452,0.4306,0.394,0.2243,0.4659,0.2324,0.4398,0.4974,0.4971,0.4104,0.2161,0.4474,0.2714,0.4085,0.4588,0.453,0.5266,0.5899,0.7908,0.5243,0.4917,0.3983,0.5531,0.5369,0.5546,0.2395,0.419,0.301,0.5935,0.5385,0.2906,0.3521,0.6562,0.5285,0.3999,0.3919
CA,0.2442,0.233,0.2184,0.5757,1,0.2924,0.2722,0.2398,0.2075,0.3583,0.241,0.6764,0.2339,0.2102,0.3104,0.2289,0.2429,0.2311,0.2169,0.3014,0.2266,0.2362,0.2549,0.2532,0.2309,0.2395,0.2323,0.2481,0.2226,0.2036,0.2392,0.4986,0.6314,0.6095,0.5295,0.2466,0.2277,0.2295,0.2581,0.2899,0.2466,0.2284,0.2238,0.5937,0.2409,0.2241,0.209,0.3236,0.2586,0.2252,0.2159
CO,0.5462,0.2788,0.3688,0.5927,0.2924,1,0.5116,0.159,0.3268,0.4106,0.2327,0.2129,0.6193,0.6007,0.4897,0.5595,0.6435,0.5302,0.2152,0.5731,0.2361,0.5492,0.5773,0.7214,0.5696,0.2128,0.6194,0.3862,0.5798,0.6013,0.6205,0.4345,0.2532,0.4033,0.3979,0.592,0.4764,0.6984,0.6354,0.5622,0.2786,0.5636,0.4271,0.2816,0.6408,0.5456,0.4872,0.7451,0.6461,0.5012,0.526
CT,0.218,0.1834,0.1515,0.4733,0.2722,0.5116,1,0.1,0.5705,0.5607,0.2058,0.239,0.4314,0.3212,0.5699,0.301,0.2874,0.266,0.1841,0.7192,0.4124,0.5842,0.5276,0.5187,0.3381,0.1904,0.4369,0.252,0.3047,0.3648,0.6319,0.6227,0.2661,0.4277,0.5296,0.4726,0.1612,0.4919,0.5985,0.6611,0.2124,0.3224,0.1747,0.2068,0.357,0.5391,0.5922,0.5921,0.5463,0.3126,0.2806
DC,0.1665,0.1511,0.1395,0.1575,0.2398,0.159,0.1,1,0.1197,0.1634,0.1625,0.1755,0.1659,0.1555,0.111,0.1546,0.1659,0.1589,0.1472,0.2046,0.481,0.1568,0.1599,0.1613,0.1554,0.1305,0.1662,0.1594,0.1462,0.1388,0.1542,0.2616,0.1406,0.1532,0.3046,0.1602,0.1474,0.1601,0.1568,0.0928,0.1604,0.151,0.1523,0.1614,0.155,0.1417,0.1449,0.1468,0.1575,0.1572,0.1412
DE,0.2213,0.4349,0.3714,0.3385,0.2075,0.3268,0.5705,0.1197,1,0.6209,0.4719,0.1794,0.5572,0.4062,0.5705,0.4992,0.3939,0.4695,0.4778,0.4858,0.4569,0.6188,0.7034,0.5554,0.5271,0.3702,0.5128,0.5413,0.3997,0.4331,0.6029,0.426,0.1903,0.3646,0.4015,0.6463,0.2622,0.4788,0.6978,0.5464,0.5309,0.4228,0.4185,0.2152,0.3143,0.6653,0.5689,0.4556,0.6362,0.4857,0.3703
FL,0.3105,0.4082,0.3771,0.6082,0.3583,0.4106,0.5607,0.1634,0.6209,1,0.3503,0.3096,0.4948,0.4233,0.5463,0.4786,0.4078,0.4597,0.3634,0.4539,0.3754,0.5817,0.6567,0.5086,0.4957,0.2969,0.4998,0.482,0.3533,0.4194,0.5733,0.5603,0.4024,0.6234,0.5111,0.6098,0.3724,0.5673,0.7021,0.5657,0.4631,0.407,0.423,0.3273,0.2709,0.5226,0.4543,0.5352,0.5994,0.5093,0.3872
GA,0.2419,0.6782,0.5467,0.2296,0.241,0.2327,0.2058,0.1625,0.4719,0.3503,1,0.2077,0.4347,0.3599,0.2132,0.5278,0.4512,0.5458,0.7519,0.214,0.3195,0.3133,0.5217,0.3622,0.5502,0.7403,0.3829,0.7012,0.3942,0.343,0.2601,0.2397,0.2476,0.2365,0.2324,0.5221,0.4662,0.2588,0.4316,0.1985,0.7413,0.3969,0.5942,0.271,0.2346,0.4991,0.2133,0.2127,0.4011,0.4934,0.3811
HI,0.2203,0.215,0.2054,0.4482,0.6764,0.2129,0.239,0.1755,0.1794,0.3096,0.2077,1,0.2085,0.195,0.1477,0.2049,0.2254,0.2124,0.2125,0.2032,0.1898,0.2058,0.2112,0.223,0.2103,0.1793,0.2136,0.2202,0.2152,0.1961,0.2075,0.3941,0.6781,0.4592,0.3376,0.2109,0.1992,0.1938,0.213,0.1796,0.2109,0.2185,0.2101,0.4791,0.2108,0.2121,0.1937,0.2089,0.2191,0.2022,0.2062
IA,0.6454,0.5955,0.6324,0.4761,0.2339,0.6193,0.4314,0.1659,0.5572,0.4948,0.4347,0.2085,1,0.7524,0.4278,0.7929,0.7811,0.7743,0.4939,0.4106,0.2214,0.7578,0.8088,0.8219,0.8029,0.4544,0.8304,0.6991,0.7541,0.729,0.7233,0.2403,0.2439,0.3428,0.2255,0.8171,0.6259,0.7397,0.7787,0.5027,0.6256,0.7658,0.6664,0.2737,0.5669,0.6323,0.6322,0.6477,0.8395,0.7588,0.7087
ID,0.6547,0.5231,0.575,0.485,0.2102,0.6007,0.3212,0.1555,0.4062,0.4233,0.3599,0.195,0.7524,1,0.3587,0.7308,0.7396,0.7086,0.4295,0.3192,0.1974,0.6068,0.6851,0.7163,0.7191,0.3735,0.7253,0.5833,0.7244,0.7209,0.5944,0.2002,0.2173,0.3439,0.194,0.7091,0.6308,0.6586,0.6654,0.4233,0.5205,0.7125,0.6109,0.2731,0.6152,0.5005,0.4693,0.5779,0.719,0.685,0.6942
